model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,18,5,509,217.1953,1.3025,0.7677,0.7907,0.3784,134.7368,travel,lowrank,16,0.470338,1.479686,gemma3_4b::TR01::18
gemma3_4b,TR01,18,6,509,235.0764,1.5974,0.626,0.6672,0.4128,83.6465,travel,monarch,2,0.524234,4.227786,gemma3_4b::TR01::18
gemma3_4b,TR01,18,7,509,239.6966,4.9278,0.2029,0.3111,0.5275,47.7988,travel,monarch,2,0.398466,2.663072,gemma3_4b::TR01::18
gemma3_4b,TR01,19,0,509,187.9068,1.1992,0.8339,0.8571,0.2707,111.6695,travel,lowrank,16,0.37855,0.870152,gemma3_4b::TR01::19
gemma3_4b,TR01,19,1,509,109.053,1.0735,0.9316,0.9451,0.1673,154.8207,travel,lowrank,16,0.249604,0.65216,gemma3_4b::TR01::19
gemma3_4b,TR01,19,2,509,188.0279,1.2696,0.7877,0.8103,0.3674,111.6215,travel,lowrank,16,0.511323,1.295858,gemma3_4b::TR01::19
gemma3_4b,TR01,19,3,509,107.0638,1.2687,0.7882,0.8409,0.1956,119.0231,travel,lowrank,16,0.345975,0.589043,gemma3_4b::TR01::19
gemma3_4b,TR01,19,4,509,281.7793,1.9927,0.5018,0.5688,0.3388,75.2521,travel,monarch,2,0.482773,4.104769,gemma3_4b::TR01::19
gemma3_4b,TR01,19,5,509,258.3166,2.8837,0.3468,0.4293,0.398,67.213,travel,monarch,2,0.440087,3.870324,gemma3_4b::TR01::19
gemma3_4b,TR01,19,6,509,121.6419,1.204,0.8306,0.8674,0.2837,153.5446,travel,lowrank,16,0.371304,0.947609,gemma3_4b::TR01::19
gemma3_4b,TR01,19,7,509,156.5582,1.1035,0.9062,0.9236,0.1125,178.5327,travel,lowrank,16,0.312663,0.85745,gemma3_4b::TR01::19
gemma3_4b,TR01,20,0,509,77.6848,1.0452,0.9568,0.9672,0.1377,171.2537,travel,lowrank,16,0.205521,0.493497,gemma3_4b::TR01::20
gemma3_4b,TR01,20,1,509,172.5469,1.1724,0.853,0.8795,0.233,122.5223,travel,lowrank,16,0.341878,0.807218,gemma3_4b::TR01::20
gemma3_4b,TR01,20,2,509,131.1533,1.2961,0.7715,0.8353,0.2533,124.1284,travel,lowrank,16,0.400814,0.766905,gemma3_4b::TR01::20
gemma3_4b,TR01,20,3,509,64.1237,1.0335,0.9676,0.9758,0.1207,164.4515,travel,lowrank,16,0.158699,0.427632,gemma3_4b::TR01::20
