task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,26,3,509,176.4569,1.1446,0.8737,0.8872,0.2426,160.289
TR01,travel,gemma3_4b,26,4,509,16.5546,1.0086,0.9915,0.9954,0.035,220.179
TR01,travel,gemma3_4b,26,5,509,46.4735,1.0408,0.9608,0.973,0.0557,194.0021
TR01,travel,gemma3_4b,26,6,509,16.9672,1.0332,0.9679,0.9861,0.0407,206.2465
TR01,travel,gemma3_4b,26,7,509,77.7244,1.0364,0.9649,0.9731,0.138,152.1726
TR01,travel,gemma3_4b,27,0,509,27.4782,1.0077,0.9924,0.9962,0.0699,238.2362
TR01,travel,gemma3_4b,27,1,509,187.6317,1.1893,0.8408,0.859,0.2787,138.7856
TR01,travel,gemma3_4b,27,2,509,30.9687,1.0588,0.9445,0.9646,0.0844,181.4721
TR01,travel,gemma3_4b,27,3,509,174.0636,1.0951,0.9132,0.9228,0.2156,198.2034
TR01,travel,gemma3_4b,27,4,509,84.4215,1.0715,0.9333,0.9404,0.1492,229.767
TR01,travel,gemma3_4b,27,5,509,244.0166,1.1748,0.8512,0.8624,0.288,191.0167
TR01,travel,gemma3_4b,27,6,509,134.0562,1.0728,0.9321,0.9436,0.1509,159.3064
TR01,travel,gemma3_4b,27,7,509,173.3606,1.1237,0.8899,0.9066,0.2223,149.9811
TR01,travel,gemma3_4b,28,0,509,207.3698,1.1954,0.8365,0.8558,0.2928,135.4824
TR01,travel,gemma3_4b,28,1,509,14.3725,1.005,0.995,0.9968,0.0435,230.3978
TR01,travel,gemma3_4b,28,2,509,305.6952,1.2444,0.8036,0.8143,0.377,157.6647
TR01,travel,gemma3_4b,28,3,509,245.2543,1.1716,0.8535,0.8632,0.3146,171.7971
TR01,travel,gemma3_4b,28,4,509,63.0858,1.0343,0.9669,0.9724,0.1317,205.9535
TR01,travel,gemma3_4b,28,5,509,106.7305,1.0595,0.9438,0.9511,0.1717,174.3693
TR01,travel,gemma3_4b,28,6,509,5.0876,1.0007,0.9993,0.9996,0.0286,236.8851
TR01,travel,gemma3_4b,28,7,509,5.4784,1.0051,0.9949,0.9992,0.033,239.495
TR01,travel,gemma3_4b,29,0,509,44.9566,1.0234,0.9771,0.9839,0.0503,196.4317
TR01,travel,gemma3_4b,29,1,509,23.1481,1.021,0.9794,0.9882,0.0308,207.7157
TR01,travel,gemma3_4b,29,2,509,11.853,1.0041,0.9959,0.9974,0.0285,229.8448
TR01,travel,gemma3_4b,29,3,509,11.3076,1.0034,0.9966,0.9979,0.0276,229.2943
TR01,travel,gemma3_4b,29,4,509,31.6964,1.0213,0.9792,0.9859,0.0414,211.5479
TR01,travel,gemma3_4b,29,5,509,21.9851,1.0074,0.9926,0.9947,0.0376,219.7174
TR01,travel,gemma3_4b,29,6,509,28.1167,1.0121,0.9881,0.9923,0.0782,243.7296
TR01,travel,gemma3_4b,29,7,509,41.1311,1.0168,0.9835,0.9881,0.1243,227.3092
TR01,travel,gemma3_4b,30,0,509,18.9603,1.0073,0.9927,0.9957,0.0511,211.3457
TR01,travel,gemma3_4b,30,1,509,107.6062,1.0902,0.9173,0.9268,0.1792,166.3839
TR01,travel,gemma3_4b,30,2,509,22.4391,1.0073,0.9927,0.9951,0.0503,218.4353
TR01,travel,gemma3_4b,30,3,509,33.2265,1.012,0.9881,0.992,0.0664,211.3139
TR01,travel,gemma3_4b,30,4,509,125.7051,1.0786,0.9272,0.9369,0.184,159.635
TR01,travel,gemma3_4b,30,5,509,42.4081,1.0133,0.9868,0.9904,0.0743,193.6712
TR01,travel,gemma3_4b,30,6,509,59.508,1.0178,0.9825,0.9863,0.0985,185.7469
TR01,travel,gemma3_4b,30,7,509,47.3815,1.013,0.9872,0.9906,0.0825,190.0421
TR01,travel,gemma3_4b,31,0,509,12.0619,1.0046,0.9954,0.9984,0.0555,232.8681
